title,painter,creation_date,author_gender,author_country,location_name,location_country,time_period,image_path,image_url
title,Salomon van Ruysdael,,male,Dutch Republic,Metropolitan Museum of Art,United States of America,,img/img_512/Marine MET DP145942.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Marine%20MET%20DP145942.jpg
title,Odilon Redon,1914.0,male,France,Metropolitan Museum of Art,United States of America,,img/img_512/1914 Odilon Redon Pandora anagoria.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/1914%20Odilon%20Redon%20Pandora%20anagoria.JPG
title,Otto Marseus van Schrieck,,male,Dutch Republic,Metropolitan Museum of Art,United States of America,,"img/img_512/Otto Marseus van Schrieck - Still Life with Poppy, Insects, and Reptiles, ca 1670.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Otto%20Marseus%20van%20Schrieck%20-%20Still%20Life%20with%20Poppy%2C%20Insects%2C%20and%20Reptiles%2C%20ca%201670.jpg
title,Pierre-Auguste Renoir,1885.0,male,France,Metropolitan Museum of Art,United States of America,,img/img_512/Still Life with Flowers and Prickly Pears MET DP257756.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Still%20Life%20with%20Flowers%20and%20Prickly%20Pears%20MET%20DP257756.jpg
title,Franz Marc,1913.0,male,German Empire,Solomon R. Guggenheim Museum,United States of America,,img/img_512/GUGG Dreaming Horse.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GUGG%20Dreaming%20Horse.jpg
title,Franz Marc,1912.0,male,German Empire,Solomon R. Guggenheim Museum,United States of America,,img/img_512/GUGG Tiger in the Jungle.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GUGG%20Tiger%20in%20the%20Jungle.jpg
title,,1900.0,,,Metropolitan Museum of Art,United States of America,,img/img_512/Still Life MET DT1501.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Still%20Life%20MET%20DT1501.jpg
title,Georges Valmier,1920.0,male,France,Solomon R. Guggenheim Museum,United States of America,,img/img_512/GUGG Fugue.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/GUGG%20Fugue.jpg
title,Nicholas Hilliard,,male,Kingdom of England,Metropolitan Museum of Art,United States of America,,img/img_512/Portrait of a Woman MET DP327707.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Woman%20MET%20DP327707.jpg
title,Giacomo Andreoli,1800.0,male,,Metropolitan Museum of Art,United States of America,,"img/img_512/Jérôme Bonaparte (1784–1860), King of Westphalia MET 127596.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9r%C3%B4me%20Bonaparte%20%281784%E2%80%931860%29%2C%20King%20of%20Westphalia%20MET%20127596.jpg
